threshold,accuracy,f1_score
0.5,0.9828199052132701,0.9201101928374655
0.505,0.9828199052132701,0.9201101928374655
0.51,0.9822274881516587,0.9171270718232044
0.515,0.9822274881516587,0.9171270718232044
0.52,0.9822274881516587,0.9171270718232044
0.525,0.9822274881516587,0.9171270718232044
0.53,0.9822274881516587,0.9166666666666666
0.535,0.9822274881516587,0.9166666666666666
0.54,0.981042654028436,0.9106145251396648
0.545,0.981042654028436,0.9106145251396648
0.55,0.9798578199052133,0.9044943820224719
0.555,0.9798578199052133,0.9044943820224719
0.56,0.9798578199052133,0.9044943820224719
0.565,0.9798578199052133,0.9044943820224719
0.5700000000000001,0.9798578199052133,0.9044943820224719
0.575,0.9798578199052133,0.9044943820224719
0.58,0.9792654028436019,0.9014084507042254
0.585,0.9792654028436019,0.9014084507042254
0.59,0.9792654028436019,0.9014084507042254
0.595,0.9792654028436019,0.9014084507042254
0.6,0.9786729857819905,0.8983050847457628
0.605,0.9786729857819905,0.8983050847457628
0.61,0.9786729857819905,0.8983050847457628
0.615,0.9786729857819905,0.8983050847457628
0.62,0.9786729857819905,0.8983050847457628
0.625,0.9786729857819905,0.8983050847457628
0.63,0.9786729857819905,0.8983050847457628
0.635,0.9786729857819905,0.8983050847457628
0.64,0.9786729857819905,0.8983050847457628
0.645,0.9786729857819905,0.8983050847457628
0.65,0.9786729857819905,0.8983050847457628
0.655,0.9786729857819905,0.8983050847457628
0.66,0.9792654028436019,0.9008498583569405
0.665,0.9792654028436019,0.9008498583569405
0.67,0.9786729857819905,0.8977272727272727
0.675,0.9786729857819905,0.8977272727272727
0.6799999999999999,0.9774881516587678,0.8914285714285715
0.685,0.9774881516587678,0.8914285714285715
0.69,0.9768957345971564,0.8882521489971347
0.6950000000000001,0.976303317535545,0.8850574712643678
0.7,0.976303317535545,0.8850574712643678
0.7050000000000001,0.9768957345971564,0.8876080691642652
0.71,0.9774881516587678,0.8901734104046243
0.715,0.9780805687203792,0.8927536231884058
0.72,0.9780805687203792,0.8927536231884058
0.725,0.9780805687203792,0.8927536231884058
0.73,0.9780805687203792,0.8927536231884058
0.735,0.9768957345971564,0.8862973760932945
0.74,0.9768957345971564,0.8862973760932945
0.745,0.976303317535545,0.8830409356725146
0.75,0.976303317535545,0.8830409356725146
0.755,0.976303317535545,0.8830409356725146
0.76,0.976303317535545,0.8830409356725146
0.765,0.976303317535545,0.8830409356725146
0.77,0.976303317535545,0.8830409356725146
0.775,0.976303317535545,0.8830409356725146
0.78,0.976303317535545,0.8830409356725146
0.785,0.9768957345971564,0.8856304985337243
0.79,0.9768957345971564,0.8856304985337243
0.7949999999999999,0.9768957345971564,0.8856304985337243
0.8,0.976303317535545,0.8823529411764706
0.8049999999999999,0.9757109004739336,0.8790560471976401
0.81,0.976303317535545,0.8816568047337278
0.815,0.976303317535545,0.8816568047337278
0.8200000000000001,0.976303317535545,0.8816568047337278
0.825,0.9757109004739336,0.8783382789317508
0.8300000000000001,0.9757109004739336,0.8783382789317508
0.835,0.9751184834123223,0.875
0.8400000000000001,0.9739336492890995,0.8682634730538922
0.845,0.9733412322274881,0.8648648648648649
0.8500000000000001,0.9727488151658767,0.8614457831325302
0.855,0.9721563981042654,0.8580060422960725
0.86,0.9709715639810427,0.851063829787234
0.865,0.9703791469194313,0.8475609756097561
0.87,0.9697867298578199,0.8440366972477065
0.875,0.9680094786729858,0.8333333333333334
0.88,0.9680094786729858,0.8333333333333334
0.885,0.9674170616113744,0.8297213622291022
0.89,0.9662322274881516,0.822429906542056
0.895,0.9662322274881516,0.822429906542056
0.9,0.9662322274881516,0.822429906542056
0.905,0.9662322274881516,0.822429906542056
0.91,0.965047393364929,0.8150470219435737
0.915,0.965047393364929,0.8150470219435737
0.9199999999999999,0.9644549763033176,0.8113207547169812
0.925,0.9644549763033176,0.8113207547169812
0.9299999999999999,0.9626777251184834,0.8
0.935,0.9620853080568721,0.7961783439490446
0.94,0.9620853080568721,0.7961783439490446
0.9450000000000001,0.9614928909952607,0.792332268370607
0.95,0.9561611374407583,0.756578947368421
0.9550000000000001,0.95260663507109,0.7315436241610739
0.96,0.9520142180094787,0.7272727272727273
0.9650000000000001,0.9484597156398105,0.7010309278350515
0.97,0.9466824644549763,0.6875
0.9750000000000001,0.9377962085308057,0.6153846153846154
0.98,0.9283175355450237,0.5291828793774319
0.985,0.9158767772511849,0.3983050847457627
0.99,0.9034360189573459,0.24186046511627907
0.995,0.8909952606635071,0.05154639175257732
1.0,0.8880331753554502,0.0
