accuracy,loss,val_accuracy,val_loss,learning_rate
0.912407398223877,0.37896761298179626,0.9459659457206726,0.31019338965415955,0.0010000000474974513
0.9399999976158142,0.317339152097702,0.9489267468452454,0.28529828786849976,0.0010000000474974513
0.9505555629730225,0.2989710569381714,0.9696521162986755,0.2651512622833252,0.0010000000474974513
0.9637036919593811,0.2747766375541687,0.9770540595054626,0.26688089966773987,0.0010000000474974513
0.9712963104248047,0.2645081877708435,0.9008142352104187,0.3332338333129883,0.0010000000474974513
0.9740740656852722,0.25416481494903564,0.9837157726287842,0.23503263294696808,0.0010000000474974513
0.9742592573165894,0.2539493441581726,0.9837157726287842,0.24163499474525452,0.0010000000474974513
0.9768518805503845,0.2478438764810562,0.984455943107605,0.23075492680072784,0.0010000000474974513
0.9781481623649597,0.24508316814899445,0.8867505788803101,0.36628031730651855,0.0010000000474974513
0.982962965965271,0.23556408286094666,0.9918578863143921,0.2190072238445282,0.0010000000474974513
0.9800000190734863,0.2395995855331421,0.9740932583808899,0.2613244950771332,0.0010000000474974513
0.9820370078086853,0.2372574806213379,0.9925980567932129,0.21659120917320251,0.0010000000474974513
0.9842592477798462,0.23311953246593475,0.9763138294219971,0.2452472746372223,0.0010000000474974513
0.9833333492279053,0.23292993009090424,0.9896373152732849,0.2184443324804306,0.0010000000474974513
0.9855555295944214,0.2296338826417923,0.9925980567932129,0.21713541448116302,0.0010000000474974513
0.9900000095367432,0.22211982309818268,0.9903774857521057,0.2201075702905655,0.0005000000237487257
0.9911110997200012,0.21972043812274933,0.9896373152732849,0.21798500418663025,0.0005000000237487257
